n,0.001,0.01,0.1
123, 4.2897419211116033e-17, -1.2277619226801261e-16, -8.448155551129205e-16, 
124, -4.272888907966427e-17, -1.1118267755107379e-17, -6.207398173814032e-16, 
125, -1.3570064033812748e-17, -4.3656910727465635e-17, -6.470081788265786e-16, 
126, 9.336502392224314e-18, -1.0230392602836645e-16, -8.557177754239393e-16, 
127, -4.72969080757884e-17, -9.21010698519381e-17, -6.681277467458051e-16, 
128, 1.9621519779381393e-17, -3.677130587037379e-17, -6.873924798088757e-16, 
129, -4.3540945990713676e-17, 1.2342023042572197e-17, -7.911969475597779e-16, 
130, 2.6590583397032727e-17, -4.528391174084475e-18, -8.455401285940793e-16, 
131, -3.6021773068545705e-17, -3.844104844401986e-17, -6.440347616194553e-16, 
132, 5.160892256255794e-17, -7.878817530822971e-17, -7.130064258288689e-16, 
133, -8.039048305115912e-18, 2.310829084962703e-17, -8.397682069217493e-16, 
134, -2.0731756475465187e-17, -5.892385795494085e-17, -5.528127821638463e-16, 
135, -3.056626260234922e-17, -1.58344650980645e-16, -7.686749761143763e-16, 
136, -5.768239971814747e-17, -1.5552449082871308e-17, -8.5657102300533665e-16, 
137, -4.305326512391061e-17, -2.5293102901347363e-17, -8.380005329057501e-16, 
138, -3.078989032625338e-17, -8.82933953692911e-17, -8.607610134042954e-16, 
139, 3.9744121177685574e-17, -2.525575283084774e-17, -8.716661011455373e-16, 
140, -4.774312857043102e-17, -8.563689767792869e-18, -8.078918506333488e-16, 
141, -5.929593884420965e-17, -9.203212574960512e-17, -8.979732035324808e-16, 
142, -2.895002477845356e-18, -1.0753659438582681e-16, -9.13655393252454e-16, 
143, -5.514559564528485e-18, -5.011950256272025e-18, -9.526209373713006e-16, 
144, 5.262727993989554e-17, -8.894830126059346e-17, -6.879135247988651e-16, 
145, 2.549501598656413e-17, -5.4673696943948036e-17, -5.761684366579911e-16, 
146, -6.90124340893292e-17, -1.2488230940816963e-16, -8.367325432937479e-16, 
147, 4.904455312209513e-17, -2.4596173399603754e-17, -7.925447080321815e-16, 
148, -5.276050672580787e-17, -5.463936278234757e-17, -7.075708579345473e-16, 
149, 1.2069335947174615e-17, -4.2786047576177756e-17, -9.813824471895934e-16, 
150, 1.1642994220484982e-17, -8.901556761881798e-18, -1.0048504046672802e-15, 
