n,0.001,0.01,0.1
120, 6.023966895503366e-17, 1.1526795360399986e-15, -3.810177812454972e-15, 
121, 1.31548751135544e-16, 1.1593621015928425e-15, -3.797347208430153e-15, 
122, 9.238807496324063e-17, 1.1276944439675574e-15, -3.766800988034312e-15, 
123, 1.2687671206075335e-16, 1.1090312899085777e-15, -4.033305911251884e-15, 
124, 7.964438834374855e-17, 1.0620085583825903e-15, -4.027007036450791e-15, 
125, 4.906732523581247e-17, 1.1060056793563195e-15, -3.806389580983687e-15, 
126, 7.67310827573835e-17, 1.2123992108759244e-15, -3.936031812844237e-15, 
127, 6.017266369664061e-17, 1.1524441526006652e-15, -3.987068870512234e-15, 
128, 1.2423399422304357e-16, 1.090905333980102e-15, -4.031115152024804e-15, 
129, 1.1128837613982357e-16, 1.1126973342019025e-15, -4.158760521462062e-15, 
130, 7.500418279897259e-17, 1.0950013972074588e-15, -3.8926425094280494e-15, 
131, 1.3065636949996062e-16, 1.1723139687200036e-15, -4.21706320870378e-15, 
132, 6.150585554750534e-17, 1.1957680060379982e-15, -3.822396330842103e-15, 
133, 8.526384280374368e-17, 1.223757506187195e-15, -3.9790067289930835e-15, 
134, 4.7275707994421916e-17, 1.018601079976827e-15, -4.0918032043560175e-15, 
135, 1.321081701790583e-16, 1.2834285321954564e-15, -3.968597373000111e-15, 
136, 6.689588347743452e-17, 1.0660281091787489e-15, -4.2698364704539806e-15, 
137, 1.7407150437786446e-16, 1.0383918707494334e-15, -4.696644720490217e-15, 
138, 5.64790894004168e-17, 1.214861535435276e-15, -4.095294830190377e-15, 
139, 1.7557426903685051e-16, 1.1850156491153308e-15, -4.2538611605460005e-15, 
140, 1.2696103084507127e-16, 1.2413596193391558e-15, -4.410222843349537e-15, 
141, 1.6401074430669368e-16, 1.193013620132223e-15, -3.944996352105947e-15, 
142, 5.371730711303016e-17, 1.2085066279116113e-15, -4.47615612110589e-15, 
143, 1.168878906028813e-16, 1.3101577445515105e-15, -4.435442330292243e-15, 
144, 1.5163582254344402e-16, 1.2453405536052497e-15, -4.861484728878208e-15, 
145, 1.4326931194349061e-16, 1.2430485590573365e-15, -5.254798997173848e-15, 
146, 7.687921736829867e-17, 1.2263712788984193e-15, -5.3492077455982055e-15, 
147, 1.3698405812573373e-16, 1.272316512921318e-15, -8.133192194225942e-15, 
148, 1.7411062158104035e-16, 1.2116727125900918e-15, -8.881519496309717e-15, 
149, 8.8565516579001e-17, 1.256320057903695e-15, -7.372067983904023e-15, 
150, 1.1463150768483953e-16, 1.2541253770294671e-15, -1.163610757565173e-14, 
